R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
Cheick Kongo,1,17 of 22,77%,27 of 32,0 of 0,---,0,0,1:18,12 of 17,4 of 4,1 of 1,3 of 6,14 of 16,0 of 0,Christian Wellisch,0,0 of 5,0%,7 of 12,1 of 4,25%,1,0,0:43,0 of 5,0 of 0,0 of 0,0 of 4,0 of 0,0 of 1,Red,Heavyweight,0,UFC 62: Liddell vs Sobral,KO/TKO,1,2:51
Hermes Franca,0,22 of 46,47%,97 of 125,1 of 2,50%,3,2,1:09,13 of 37,4 of 4,5 of 5,14 of 28,6 of 10,2 of 8,Jamie Varner,0,18 of 106,16%,41 of 129,9 of 15,60%,0,0,7:10,14 of 101,1 of 1,3 of 4,1 of 37,1 of 3,16 of 66,Red,Lightweight,0,UFC 62: Liddell vs Sobral,Submission,3,3:31
Eric Schafer,0,7 of 10,70%,21 of 24,0 of 0,---,2,0,1:29,2 of 4,1 of 1,4 of 5,4 of 7,1 of 1,2 of 2,Rob MacDonald,0,2 of 4,50%,6 of 8,0 of 1,0%,0,0,0:00,1 of 3,0 of 0,1 of 1,2 of 4,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC 62: Liddell vs Sobral,Submission,1,2:26
Wilson Gouveia,0,9 of 20,45%,15 of 26,1 of 1,100%,1,0,1:11,5 of 14,0 of 0,4 of 6,8 of 19,0 of 0,1 of 1,Wes Combs,0,10 of 17,58%,10 of 17,0 of 0,---,0,0,0:00,0 of 6,1 of 1,9 of 10,10 of 17,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC 62: Liddell vs Sobral,Submission,1,3:23
David Heath,0,3 of 6,50%,19 of 22,1 of 1,100%,3,0,2:20,3 of 6,0 of 0,0 of 0,0 of 0,0 of 0,3 of 6,Cory Walmsley,0,2 of 2,100%,13 of 13,0 of 0,---,0,0,0:02,1 of 1,1 of 1,0 of 0,1 of 1,1 of 1,0 of 0,Red,Light Heavyweight,0,UFC 62: Liddell vs Sobral,Submission,1,2:32
Yushin Okami,0,12 of 47,25%,59 of 97,5 of 9,55%,0,0,6:25,9 of 44,0 of 0,3 of 3,7 of 38,0 of 0,5 of 9,Alan Belcher,0,8 of 55,14%,18 of 66,0 of 1,0%,0,1,1:40,5 of 48,0 of 2,3 of 5,7 of 54,1 of 1,0 of 0,Red,Middleweight,0,UFC 62: Liddell vs Sobral,Decision - Unanimous,3,5:00
Diego Sanchez,0,66 of 108,61%,118 of 171,3 of 3,100%,1,1,4:55,36 of 77,30 of 31,0 of 0,19 of 48,15 of 19,32 of 41,Karo Parisyan,0,36 of 92,39%,78 of 139,9 of 10,90%,0,0,4:31,36 of 92,0 of 0,0 of 0,21 of 56,6 of 12,9 of 24,Red,Welterweight,0,UFC Fight Night 6,Decision - Unanimous,3,5:00
Chris Leben,1,9 of 22,40%,24 of 37,1 of 2,50%,0,0,2:16,6 of 16,3 of 5,0 of 1,3 of 9,3 of 5,3 of 8,Jorge Santiago,0,6 of 12,50%,10 of 16,1 of 1,100%,0,0,1:10,5 of 10,0 of 0,1 of 2,5 of 10,0 of 0,1 of 2,Red,Middleweight,0,UFC Fight Night 6,KO/TKO,2,0:35
Dean Lister,0,24 of 51,47%,57 of 86,5 of 17,29%,2,1,5:48,19 of 44,2 of 3,3 of 4,13 of 32,3 of 9,8 of 10,Yuki Sasaki,0,26 of 66,39%,32 of 72,0 of 0,---,0,0,4:37,19 of 57,2 of 4,5 of 5,22 of 56,4 of 10,0 of 0,Red,Middleweight,0,UFC Fight Night 6,Decision - Unanimous,3,5:00
Josh Koscheck,1,23 of 30,76%,31 of 38,1 of 1,100%,1,0,3:37,22 of 29,0 of 0,1 of 1,3 of 6,0 of 0,20 of 24,Jonathan Goulet,0,1 of 2,50%,1 of 2,0 of 1,0%,0,0,0:00,0 of 1,1 of 1,0 of 0,1 of 2,0 of 0,0 of 0,Red,Welterweight,0,UFC Fight Night 6,KO/TKO,1,4:10
Martin Kampmann,0,19 of 26,73%,28 of 37,1 of 1,100%,1,0,2:30,19 of 26,0 of 0,0 of 0,3 of 6,1 of 2,15 of 18,Crafton Wallace,0,1 of 9,11%,1 of 9,0 of 0,---,0,0,0:00,0 of 7,0 of 0,1 of 2,1 of 9,0 of 0,0 of 0,Red,Middleweight,0,UFC Fight Night 6,Submission,1,2:59
Joe Riggs,0,1 of 4,25%,1 of 4,1 of 1,100%,1,0,0:37,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0,Jason Von Flue,0,0 of 2,0%,9 of 11,0 of 0,---,0,1,0:40,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,Red,Welterweight,0,UFC Fight Night 6,Submission,1,2:01
Jake O'Brien,0,25 of 52,48%,85 of 116,3 of 3,100%,0,0,4:44,25 of 52,0 of 0,0 of 0,0 of 3,0 of 0,25 of 49,Kristof Midoux,0,2 of 10,20%,2 of 11,0 of 0,---,0,0,0:00,2 of 10,0 of 0,0 of 0,0 of 8,2 of 2,0 of 0,Red,Heavyweight,0,UFC Fight Night 6,KO/TKO,2,0:52
Forrest Petz,5,45 of 83,54%,102 of 149,6 of 6,100%,0,0,7:25,27 of 64,17 of 18,1 of 1,21 of 47,10 of 12,14 of 24,Sammy Morgan,0,8 of 44,18%,58 of 98,0 of 7,0%,1,0,0:00,3 of 38,4 of 5,1 of 1,7 of 32,1 of 12,0 of 0,Red,Welterweight,0,UFC Fight Night 6,Decision - Unanimous,3,5:00
Anthony Torres,0,11 of 23,47%,35 of 48,0 of 0,---,1,0,1:07,10 of 22,1 of 1,0 of 0,5 of 14,3 of 6,3 of 3,Pat Healy,0,13 of 26,50%,20 of 33,0 of 1,0%,0,0,0:15,8 of 21,3 of 3,2 of 2,9 of 21,4 of 5,0 of 0,Red,Welterweight,0,UFC Fight Night 6,Submission,1,2:37
Tim Sylvia,0,97 of 263,36%,99 of 265,0 of 0,---,0,0,0:45,68 of 230,7 of 9,22 of 24,88 of 252,9 of 11,0 of 0,Andrei Arlovski,0,66 of 327,20%,68 of 330,0 of 1,0%,0,0,0:00,39 of 291,8 of 16,19 of 20,64 of 322,2 of 5,0 of 0,Red,Heavyweight,1,UFC 61: Bitter Rivals,Decision - Unanimous,5,5:00
Joshua Burkman,1,35 of 88,39%,60 of 113,4 of 7,57%,0,0,6:45,22 of 72,9 of 12,4 of 4,14 of 50,16 of 28,5 of 10,Josh Neer,0,19 of 39,48%,42 of 64,1 of 3,33%,1,1,3:10,17 of 36,1 of 2,1 of 1,7 of 21,5 of 9,7 of 9,Red,Welterweight,0,UFC 61: Bitter Rivals,Decision - Unanimous,3,5:00
Tito Ortiz,0,11 of 11,100%,22 of 23,1 of 3,33%,0,0,1:04,10 of 10,1 of 1,0 of 0,0 of 0,3 of 3,8 of 8,Ken Shamrock,0,0 of 3,0%,3 of 6,0 of 0,---,0,0,0:04,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC 61: Bitter Rivals,KO/TKO,1,1:18
