R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
Maheshate,2,7 of 10,70%,7 of 10,0 of 0,---,0,0,0:00,6 of 8,1 of 2,0 of 0,7 of 10,0 of 0,0 of 0,Steve Garcia,0,7 of 19,36%,9 of 21,0 of 0,---,0,0,0:35,7 of 15,0 of 4,0 of 0,4 of 15,0 of 1,3 of 3,Red,Lightweight,0,UFC 275: Teixeira vs. Prochazka,KO/TKO,1,1:14
Brendan Allen,0,45 of 74,60%,89 of 122,2 of 2,100%,0,2,3:24,36 of 62,2 of 4,7 of 8,28 of 55,0 of 1,17 of 18,Jacob Malkoun,0,33 of 55,60%,66 of 96,7 of 14,50%,0,0,7:09,29 of 50,3 of 4,1 of 1,29 of 48,1 of 1,3 of 6,Red,Middleweight,0,UFC 275: Teixeira vs. Prochazka,Decision - Unanimous,3,5:00
Kyung Ho Kang,0,100 of 155,64%,100 of 155,0 of 2,0%,0,0,0:00,82 of 134,2 of 4,16 of 17,99 of 153,1 of 2,0 of 0,Batgerel Danaa,0,109 of 284,38%,110 of 286,0 of 1,0%,0,0,0:03,68 of 223,19 of 36,22 of 25,103 of 276,5 of 7,1 of 1,Red,Bantamweight,0,UFC 275: Teixeira vs. Prochazka,Decision - Unanimous,3,5:00
Liang Na,0,4 of 17,23%,4 of 17,0 of 2,0%,0,0,0:09,4 of 17,0 of 0,0 of 0,4 of 17,0 of 0,0 of 0,Silvana Gomez Juarez,1,8 of 12,66%,10 of 14,0 of 0,---,0,0,0:00,8 of 12,0 of 0,0 of 0,6 of 9,2 of 3,0 of 0,Blue,Women's Strawweight,0,UFC 275: Teixeira vs. Prochazka,KO/TKO,1,1:22
Ramona Pascual,0,63 of 109,57%,65 of 113,1 of 11,9%,0,0,1:02,23 of 63,20 of 24,20 of 22,44 of 86,19 of 23,0 of 0,Joselyne Edwards,0,164 of 268,61%,175 of 280,0 of 3,0%,0,0,0:52,22 of 83,65 of 98,77 of 87,152 of 251,12 of 17,0 of 0,Blue,Women's Featherweight,0,UFC 275: Teixeira vs. Prochazka,Decision - Unanimous,3,5:00
Alexander Volkov,0,21 of 37,56%,21 of 37,0 of 0,---,0,0,0:00,10 of 26,5 of 5,6 of 6,21 of 37,0 of 0,0 of 0,Jairzinho Rozenstruik,0,6 of 18,33%,6 of 18,0 of 0,---,0,0,0:00,3 of 15,0 of 0,3 of 3,6 of 18,0 of 0,0 of 0,Red,Heavyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,1,2:12
Dan Ige,0,42 of 106,39%,47 of 114,0 of 0,---,0,0,0:10,25 of 85,14 of 18,3 of 3,38 of 102,1 of 1,3 of 3,Movsar Evloev,0,68 of 129,52%,144 of 213,9 of 16,56%,0,0,6:47,50 of 109,12 of 14,6 of 6,51 of 110,2 of 2,15 of 17,Blue,Featherweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Decision - Unanimous,3,5:00
Michael Trizano,1,31 of 62,50%,42 of 74,0 of 0,---,0,0,1:43,17 of 45,12 of 14,2 of 3,26 of 55,1 of 2,4 of 5,Lucas Almeida,2,75 of 152,49%,94 of 171,0 of 0,---,0,0,2:13,32 of 95,16 of 22,27 of 35,54 of 121,0 of 0,21 of 31,Blue,Featherweight,0,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,3,0:55
Karine Silva,0,17 of 68,25%,23 of 75,1 of 1,100%,1,0,0:47,9 of 49,5 of 8,3 of 11,12 of 63,0 of 0,5 of 5,Poliana Botelho,0,19 of 26,73%,19 of 26,0 of 0,---,0,0,0:00,10 of 17,6 of 6,3 of 3,19 of 26,0 of 0,0 of 0,Red,Women's Flyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Submission,1,4:55
Ode Osbourne,1,7 of 15,46%,7 of 15,0 of 0,---,0,0,0:03,7 of 15,0 of 0,0 of 0,1 of 8,0 of 0,6 of 7,Zarrukh Adashev,0,7 of 13,53%,7 of 13,0 of 0,---,0,0,0:00,5 of 11,1 of 1,1 of 1,7 of 13,0 of 0,0 of 0,Red,Flyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,1,1:01
Alonzo Menifield,0,19 of 22,86%,55 of 59,2 of 3,66%,0,0,4:19,18 of 21,1 of 1,0 of 0,3 of 6,0 of 0,16 of 16,Askar Mozharov,0,2 of 11,18%,11 of 20,0 of 0,---,0,0,0:00,1 of 9,1 of 2,0 of 0,2 of 11,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,1,4:40
Felice Herrig,0,55 of 122,45%,59 of 126,0 of 2,0%,0,0,0:01,34 of 92,20 of 28,1 of 2,49 of 116,6 of 6,0 of 0,Karolina Kowalkiewicz,0,82 of 123,66%,102 of 146,0 of 2,0%,2,0,3:10,54 of 94,23 of 24,5 of 5,57 of 96,17 of 18,8 of 9,Blue,Women's Strawweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Submission,2,4:01
Joe Solecki,0,33 of 82,40%,91 of 144,1 of 4,25%,3,0,4:51,32 of 81,0 of 0,1 of 1,30 of 77,1 of 3,2 of 2,Alex Da Silva,1,35 of 76,46%,54 of 96,0 of 0,---,0,0,5:55,20 of 58,11 of 12,4 of 6,29 of 67,1 of 2,5 of 7,Red,Lightweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Decision - Majority,3,5:00
Damon Jackson,0,32 of 53,60%,47 of 71,2 of 4,50%,1,1,10:25,23 of 44,6 of 6,3 of 3,19 of 40,5 of 5,8 of 8,Dan Argueta,0,27 of 59,45%,103 of 141,1 of 3,33%,0,1,2:44,24 of 56,3 of 3,0 of 0,16 of 42,10 of 15,1 of 2,Red,Featherweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Decision - Unanimous,3,5:00
Niklas Stolze,0,11 of 14,78%,20 of 23,0 of 0,---,1,0,0:00,3 of 5,5 of 5,3 of 4,6 of 9,4 of 4,1 of 1,Benoit Saint Denis,0,8 of 10,80%,41 of 48,3 of 5,60%,2,0,5:44,4 of 5,3 of 4,1 of 1,4 of 6,2 of 2,2 of 2,Blue,Lightweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Submission,2,1:32
Johnny Munoz,0,2 of 7,28%,2 of 7,0 of 1,0%,0,0,0:00,0 of 5,0 of 0,2 of 2,2 of 7,0 of 0,0 of 0,Tony Gravely,1,5 of 15,33%,6 of 16,0 of 0,---,0,0,0:03,4 of 12,0 of 0,1 of 3,2 of 11,0 of 0,3 of 4,Blue,Bantamweight,0,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,1,1:08
Jeff Molina,0,56 of 148,37%,129 of 226,0 of 0,---,0,0,0:14,43 of 133,6 of 7,7 of 8,49 of 139,5 of 7,2 of 2,Zhalgas Zhumagulov,0,37 of 112,33%,68 of 146,2 of 13,15%,0,0,5:32,10 of 74,17 of 26,10 of 12,28 of 103,9 of 9,0 of 0,Red,Flyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Decision - Split,3,5:00
Rinat Fakhretdinov,0,45 of 61,73%,106 of 130,5 of 10,50%,0,0,13:00,27 of 41,10 of 11,8 of 9,10 of 20,18 of 22,17 of 19,Andreas Michailidis,0,18 of 33,54%,48 of 65,0 of 2,0%,0,1,0:39,7 of 22,5 of 5,6 of 6,9 of 22,7 of 9,2 of 2,Red,Welterweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Decision - Unanimous,3,5:00
Erin Blanchfield,0,48 of 100,48%,68 of 121,0 of 4,0%,1,0,0:56,29 of 76,11 of 11,8 of 13,46 of 96,2 of 4,0 of 0,JJ Aldrich,0,32 of 71,45%,38 of 77,2 of 6,33%,0,0,0:42,29 of 66,3 of 5,0 of 0,31 of 68,1 of 3,0 of 0,Red,Women's Flyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Submission,2,2:38
Holly Holm,0,96 of 157,61%,188 of 263,0 of 6,0%,0,0,10:03,26 of 79,34 of 40,36 of 38,76 of 133,20 of 24,0 of 0,Ketlen Vieira,0,85 of 151,56%,122 of 190,1 of 7,14%,1,0,1:24,49 of 109,29 of 34,7 of 8,49 of 110,32 of 37,4 of 4,Blue,Women's Bantamweight,0,UFC Fight Night: Holm vs. Vieira,Decision - Split,5,5:00
Santiago Ponzinibbio,0,105 of 220,47%,106 of 221,1 of 4,25%,0,0,0:18,78 of 185,13 of 18,14 of 17,103 of 217,1 of 1,1 of 2,Michel Pereira,0,110 of 216,50%,110 of 216,0 of 0,---,0,0,0:01,52 of 143,42 of 56,16 of 17,108 of 214,2 of 2,0 of 0,Blue,Welterweight,0,UFC Fight Night: Holm vs. Vieira,Decision - Split,3,5:00
Chidi Njokuani,1,14 of 17,82%,19 of 23,0 of 0,---,1,0,0:50,3 of 4,8 of 10,3 of 3,5 of 7,9 of 10,0 of 0,Dusko Todorovic,0,5 of 7,71%,9 of 11,2 of 7,28%,0,0,3:13,4 of 6,1 of 1,0 of 0,0 of 2,4 of 4,1 of 1,Red,Middleweight,0,UFC Fight Night: Holm vs. Vieira,KO/TKO,1,4:48
Polyana Viana,0,36 of 97,37%,126 of 212,0 of 0,---,0,0,0:09,18 of 74,11 of 14,7 of 9,29 of 86,3 of 7,4 of 4,Tabatha Ricci,0,33 of 73,45%,72 of 126,5 of 10,50%,0,0,9:31,11 of 43,3 of 8,19 of 22,21 of 57,0 of 1,12 of 15,Blue,Women's Strawweight,0,UFC Fight Night: Holm vs. Vieira,Decision - Unanimous,3,5:00
Eryk Anders,0,65 of 142,45%,75 of 155,3 of 24,12%,0,0,4:45,45 of 112,17 of 25,3 of 5,56 of 131,9 of 11,0 of 0,Junyong Park,0,105 of 184,57%,108 of 187,0 of 1,0%,0,1,0:31,74 of 152,16 of 17,15 of 15,85 of 161,20 of 23,0 of 0,Blue,Middleweight,0,UFC Fight Night: Holm vs. Vieira,Decision - Split,3,5:00
Joseph Holmes,1,16 of 23,69%,16 of 23,1 of 1,100%,1,0,0:21,11 of 17,2 of 2,3 of 4,9 of 14,1 of 1,6 of 8,Alen Amedovski,0,1 of 8,12%,1 of 8,0 of 0,---,0,0,0:00,1 of 7,0 of 1,0 of 0,1 of 8,0 of 0,0 of 0,Red,Middleweight,0,UFC Fight Night: Holm vs. Vieira,Submission,1,1:04
Jailton Almeida,0,18 of 34,52%,36 of 58,1 of 2,50%,1,0,4:29,16 of 32,2 of 2,0 of 0,1 of 1,0 of 0,17 of 33,Parker Porter,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,Red,Heavyweight,0,UFC Fight Night: Holm vs. Vieira,Submission,1,4:35
Omar Morales,0,33 of 85,38%,33 of 85,0 of 0,---,0,0,0:00,18 of 64,8 of 14,7 of 7,32 of 82,1 of 3,0 of 0,Uros Medic,2,47 of 86,54%,47 of 86,0 of 0,---,0,0,0:02,21 of 57,13 of 16,13 of 13,45 of 83,2 of 3,0 of 0,Blue,Lightweight,0,UFC Fight Night: Holm vs. Vieira,KO/TKO,2,3:05
Jonathan Martinez,0,88 of 154,57%,88 of 154,2 of 2,100%,0,0,0:41,41 of 98,18 of 22,29 of 34,86 of 151,2 of 3,0 of 0,Vince Morales,0,51 of 153,33%,62 of 164,0 of 0,---,0,1,0:14,33 of 127,15 of 23,3 of 3,48 of 149,2 of 3,1 of 1,Red,Bantamweight,0,UFC Fight Night: Holm vs. Vieira,Decision - Unanimous,3,5:00
Chase Hooper,0,60 of 93,64%,140 of 188,4 of 7,57%,3,5,7:04,57 of 88,3 of 5,0 of 0,11 of 28,10 of 18,39 of 47,Felipe Colares,0,21 of 23,91%,43 of 46,2 of 4,50%,0,3,4:14,14 of 16,4 of 4,3 of 3,9 of 10,1 of 1,11 of 12,Red,Featherweight,0,UFC Fight Night: Holm vs. Vieira,KO/TKO,3,3:00
Elise Reed,0,17 of 41,41%,70 of 100,0 of 0,---,0,0,0:00,10 of 34,7 of 7,0 of 0,13 of 37,4 of 4,0 of 0,Sam Hughes,0,43 of 65,66%,130 of 161,4 of 7,57%,0,0,11:59,33 of 51,6 of 10,4 of 4,7 of 19,6 of 10,30 of 36,Blue,Women's Strawweight,0,UFC Fight Night: Holm vs. Vieira,KO/TKO,3,3:52
Jan Blachowicz,0,31 of 71,43%,53 of 94,0 of 0,---,1,0,0:01,8 of 31,9 of 21,14 of 19,31 of 69,0 of 2,0 of 0,Aleksandar Rakic,0,27 of 85,31%,61 of 125,1 of 4,25%,0,0,4:33,14 of 60,2 of 9,11 of 16,17 of 70,0 of 0,10 of 15,Red,Light Heavyweight,0,UFC Fight Night: Blachowicz vs. Rakic,KO/TKO,3,1:11
Ryan Spann,0,4 of 11,36%,5 of 12,0 of 0,---,1,0,0:04,4 of 11,0 of 0,0 of 0,4 of 11,0 of 0,0 of 0,Ion Cutelaba,0,2 of 9,22%,2 of 9,3 of 3,100%,0,0,1:11,2 of 8,0 of 1,0 of 0,1 of 5,0 of 3,1 of 1,Red,Light Heavyweight,0,UFC Fight Night: Blachowicz vs. Rakic,Submission,1,2:22
Davey Grant,1,81 of 197,41%,84 of 200,0 of 1,0%,0,0,0:35,36 of 134,29 of 42,16 of 21,68 of 180,6 of 8,7 of 9,Louis Smolka,0,71 of 139,51%,75 of 145,0 of 3,0%,0,0,0:35,46 of 101,19 of 31,6 of 7,67 of 133,1 of 1,3 of 5,Red,Bantamweight,0,UFC Fight Night: Blachowicz vs. Rakic,KO/TKO,3,0:49
Katlyn Chookagian,0,63 of 222,28%,71 of 230,0 of 2,0%,0,0,0:06,42 of 175,20 of 44,1 of 3,56 of 210,7 of 12,0 of 0,Amanda Ribas,0,55 of 169,32%,84 of 204,3 of 6,50%,0,0,4:49,28 of 124,8 of 23,19 of 22,49 of 156,3 of 7,3 of 6,Red,Women's Flyweight,0,UFC Fight Night: Blachowicz vs. Rakic,Decision - Split,3,5:00
Frank Camacho,0,16 of 31,51%,24 of 40,0 of 5,0%,0,0,0:14,10 of 24,2 of 2,4 of 5,14 of 29,2 of 2,0 of 0,Manuel Torres,1,34 of 64,53%,34 of 64,0 of 1,0%,0,0,0:16,27 of 56,6 of 7,1 of 1,30 of 60,4 of 4,0 of 0,Blue,Lightweight,0,UFC Fight Night: Blachowicz vs. Rakic,KO/TKO,1,3:27
Jake Hadley,0,8 of 29,27%,26 of 47,0 of 0,---,1,1,3:50,5 of 25,3 of 4,0 of 0,3 of 20,1 of 1,4 of 8,Allan Nascimento,0,19 of 52,36%,36 of 69,2 of 4,50%,0,3,9:27,7 of 32,8 of 16,4 of 4,10 of 27,1 of 2,8 of 23,Blue,Flyweight,0,UFC Fight Night: Blachowicz vs. Rakic,Decision - Unanimous,3,5:00
Viviane Araujo,0,39 of 79,49%,96 of 160,3 of 5,60%,2,0,10:40,25 of 63,9 of 11,5 of 5,32 of 66,0 of 0,7 of 13,Andrea Lee,1,47 of 82,57%,64 of 103,1 of 2,50%,0,0,0:48,34 of 65,9 of 13,4 of 4,36 of 64,7 of 11,4 of 7,Red,Women's Flyweight,0,UFC Fight Night: Blachowicz vs. Rakic,Decision - Unanimous,3,5:00
Michael Johnson,1,30 of 48,62%,40 of 61,1 of 1,100%,0,0,2:01,18 of 35,9 of 9,3 of 4,25 of 43,2 of 2,3 of 3,Alan Patrick,0,22 of 47,46%,30 of 56,0 of 5,0%,0,0,0:12,7 of 30,9 of 11,6 of 6,20 of 42,2 of 5,0 of 0,Red,Lightweight,0,UFC Fight Night: Blachowicz vs. Rakic,KO/TKO,2,3:22
Virna Jandiroba,0,14 of 60,23%,92 of 151,3 of 8,37%,0,0,7:04,13 of 52,1 of 8,0 of 0,13 of 58,1 of 2,0 of 0,Angela Hill,0,21 of 55,38%,44 of 86,1 of 2,50%,0,1,2:08,14 of 42,7 of 13,0 of 0,19 of 52,2 of 2,0 of 1,Red,Women's Strawweight,0,UFC Fight Night: Blachowicz vs. Rakic,Decision - Unanimous,3,5:00
Tatsuro Taira,1,57 of 87,65%,89 of 132,1 of 5,20%,3,2,6:57,45 of 74,5 of 6,7 of 7,15 of 30,2 of 2,40 of 55,Carlos Candelario,0,9 of 34,26%,21 of 47,2 of 5,40%,1,3,3:28,6 of 27,3 of 6,0 of 1,9 of 34,0 of 0,0 of 0,Red,Flyweight,0,UFC Fight Night: Blachowicz vs. Rakic,Decision - Unanimous,3,5:00
Nick Maximov,0,4 of 11,36%,4 of 11,0 of 1,0%,0,0,0:00,2 of 7,2 of 3,0 of 1,4 of 11,0 of 0,0 of 0,Andre Petroski,0,1 of 10,10%,1 of 10,0 of 0,---,1,0,0:23,0 of 8,0 of 0,1 of 2,1 of 10,0 of 0,0 of 0,Blue,Middleweight,0,UFC Fight Night: Blachowicz vs. Rakic,Submission,1,1:16
Charles Oliveira,1,30 of 47,63%,33 of 52,0 of 1,0%,2,0,0:39,18 of 32,11 of 13,1 of 2,20 of 34,8 of 10,2 of 3,Justin Gaethje,1,21 of 33,63%,21 of 33,0 of 0,---,0,0,0:13,13 of 22,3 of 3,5 of 8,15 of 26,6 of 7,0 of 0,Red,Lightweight,0,UFC 274: Oliveira vs. Gaethje,Submission,1,3:22
Rose Namajunas,0,37 of 136,27%,38 of 137,1 of 1,100%,0,0,0:10,30 of 122,6 of 12,1 of 2,36 of 135,1 of 1,0 of 0,Carla Esparza,0,30 of 133,22%,30 of 133,2 of 11,18%,0,0,0:22,15 of 108,4 of 11,11 of 14,27 of 128,3 of 5,0 of 0,Blue,Women's Strawweight,1,UFC 274: Oliveira vs. Gaethje,Decision - Split,5,5:00
Michael Chandler,1,27 of 53,50%,43 of 73,1 of 1,100%,0,0,2:29,15 of 39,6 of 8,6 of 6,18 of 38,0 of 0,9 of 15,Tony Ferguson,0,20 of 50,40%,27 of 58,0 of 0,---,0,0,0:00,13 of 38,2 of 7,5 of 5,17 of 42,0 of 0,3 of 8,Red,Lightweight,0,UFC 274: Oliveira vs. Gaethje,KO/TKO,2,0:17
Mauricio Rua,0,54 of 99,54%,54 of 99,0 of 0,---,0,0,0:00,18 of 53,11 of 17,25 of 29,54 of 99,0 of 0,0 of 0,Ovince Saint Preux,0,62 of 112,55%,62 of 112,0 of 1,0%,0,0,0:15,18 of 57,36 of 43,8 of 12,62 of 112,0 of 0,0 of 0,Blue,Light Heavyweight,0,UFC 274: Oliveira vs. Gaethje,Decision - Split,3,5:00
Randy Brown,0,93 of 177,52%,103 of 188,0 of 4,0%,0,0,0:11,68 of 144,15 of 22,10 of 11,74 of 156,19 of 21,0 of 0,Khaos Williams,1,75 of 224,33%,96 of 246,0 of 0,---,0,0,4:09,26 of 159,16 of 21,33 of 44,68 of 207,4 of 10,3 of 7,Red,Welterweight,0,UFC 274: Oliveira vs. Gaethje,Decision - Split,3,5:00
Francisco Trinaldo,0,80 of 124,64%,91 of 137,0 of 1,0%,1,0,4:21,62 of 102,16 of 20,2 of 2,51 of 86,21 of 26,8 of 12,Danny Roberts,0,36 of 118,30%,44 of 128,0 of 0,---,0,0,0:39,15 of 92,12 of 15,9 of 11,27 of 103,8 of 14,1 of 1,Red,Welterweight,0,UFC 274: Oliveira vs. Gaethje,Decision - Unanimous,3,5:00
Macy Chiasson,0,32 of 89,35%,131 of 194,6 of 12,50%,0,0,7:34,14 of 59,8 of 13,10 of 17,27 of 84,5 of 5,0 of 0,Norma Dumont,0,38 of 75,50%,96 of 136,0 of 0,---,0,0,0:26,27 of 60,8 of 10,3 of 5,28 of 62,10 of 13,0 of 0,Red,Women's Featherweight,0,UFC 274: Oliveira vs. Gaethje,Decision - Split,3,5:00
Brandon Royval,0,14 of 39,35%,14 of 39,0 of 0,---,1,0,0:13,9 of 33,2 of 3,3 of 3,13 of 37,1 of 1,0 of 1,Matt Schnell,1,12 of 33,36%,15 of 36,0 of 0,---,0,0,0:54,9 of 29,3 of 4,0 of 0,10 of 28,0 of 0,2 of 5,Red,Flyweight,0,UFC 274: Oliveira vs. Gaethje,Submission,1,2:14
Blagoy Ivanov,0,62 of 128,48%,75 of 142,0 of 4,0%,0,0,3:52,53 of 118,9 of 10,0 of 0,54 of 118,8 of 10,0 of 0,Marcos Rogerio de Lima,0,68 of 133,51%,81 of 147,1 of 5,20%,0,0,2:04,46 of 107,18 of 20,4 of 6,58 of 115,10 of 18,0 of 0,Red,Heavyweight,0,UFC 274: Oliveira vs. Gaethje,Decision - Unanimous,3,5:00
Andre Fialho,1,17 of 24,70%,17 of 24,0 of 0,---,0,0,0:02,12 of 19,2 of 2,3 of 3,16 of 23,0 of 0,1 of 1,Cameron VanCamp,0,19 of 31,61%,19 of 31,0 of 0,---,0,0,0:00,9 of 19,4 of 6,6 of 6,19 of 31,0 of 0,0 of 0,Red,Welterweight,0,UFC 274: Oliveira vs. Gaethje,KO/TKO,1,2:35
Tracy Cortez,0,36 of 66,54%,70 of 102,2 of 3,66%,1,1,7:54,25 of 51,6 of 9,5 of 6,14 of 37,2 of 2,20 of 27,Melissa Gatto,0,30 of 73,41%,49 of 95,3 of 6,50%,1,1,3:17,25 of 61,3 of 7,2 of 5,27 of 69,0 of 1,3 of 3,Red,Women's Flyweight,0,UFC 274: Oliveira vs. Gaethje,Decision - Unanimous,3,5:00
Kleydson Rodrigues,0,81 of 143,56%,93 of 156,2 of 7,28%,1,2,3:14,39 of 91,32 of 40,10 of 12,70 of 131,6 of 7,5 of 5,CJ Vergara,0,71 of 127,55%,155 of 221,0 of 0,---,0,0,4:20,42 of 89,18 of 25,11 of 13,45 of 92,7 of 10,19 of 25,Blue,Flyweight,0,UFC 274: Oliveira vs. Gaethje,Decision - Split,3,5:00
Ariane Carnelossi,0,9 of 20,45%,23 of 35,0 of 1,0%,0,0,0:00,7 of 18,1 of 1,1 of 1,4 of 13,3 of 5,2 of 2,Loopy Godinez,0,46 of 61,75%,130 of 173,8 of 8,100%,2,0,13:26,36 of 49,10 of 12,0 of 0,11 of 19,8 of 12,27 of 30,Blue,Women's Strawweight,0,UFC 274: Oliveira vs. Gaethje,Decision - Unanimous,3,5:00
Journey Newson,0,57 of 143,39%,63 of 150,2 of 3,66%,0,0,0:42,23 of 92,21 of 30,13 of 21,52 of 138,1 of 1,4 of 4,Fernie Garcia,0,37 of 103,35%,38 of 104,0 of 0,---,0,0,0:02,24 of 84,6 of 12,7 of 7,37 of 101,0 of 2,0 of 0,Red,Bantamweight,0,UFC 274: Oliveira vs. Gaethje,Decision - Unanimous,3,5:00
Rob Font,0,271 of 516,52%,273 of 520,1 of 2,50%,0,0,0:18,199 of 436,48 of 56,24 of 24,256 of 496,15 of 20,0 of 0,Marlon Vera,3,159 of 283,56%,167 of 291,0 of 0,---,0,0,2:05,95 of 205,22 of 31,42 of 47,133 of 246,4 of 4,22 of 33,Blue,Bantamweight,0,UFC Fight Night: Font vs. Vera,Decision - Unanimous,5,5:00
Andrei Arlovski,0,91 of 164,55%,105 of 178,0 of 0,---,0,0,0:01,66 of 137,15 of 17,10 of 10,82 of 152,8 of 11,1 of 1,Jake Collier,0,93 of 188,49%,132 of 231,2 of 3,66%,0,0,3:38,77 of 168,7 of 10,9 of 10,81 of 171,12 of 17,0 of 0,Red,Heavyweight,0,UFC Fight Night: Font vs. Vera,Decision - Split,3,5:00
Andre Fili,0,6 of 15,40%,6 of 15,0 of 0,---,0,0,0:00,6 of 15,0 of 0,0 of 0,6 of 15,0 of 0,0 of 0,Joanderson Brito,1,14 of 20,70%,14 of 20,0 of 0,---,0,0,0:07,12 of 18,0 of 0,2 of 2,5 of 6,0 of 0,9 of 14,Blue,Featherweight,0,UFC Fight Night: Font vs. Vera,KO/TKO,1,0:41
Jared Gordon,0,77 of 119,64%,111 of 153,0 of 0,---,0,0,1:12,48 of 83,21 of 26,8 of 10,59 of 98,14 of 16,4 of 5,Grant Dawson,0,54 of 111,48%,98 of 163,7 of 17,41%,2,0,7:11,42 of 96,11 of 14,1 of 1,40 of 97,9 of 9,5 of 5,Blue,Lightweight,0,UFC Fight Night: Font vs. Vera,Submission,3,4:11
Darren Elkins,0,75 of 151,49%,165 of 259,5 of 10,50%,1,0,7:52,66 of 141,9 of 10,0 of 0,38 of 107,29 of 34,8 of 10,Tristan Connelly,0,66 of 117,56%,106 of 158,0 of 0,---,0,0,0:58,48 of 96,9 of 12,9 of 9,42 of 87,21 of 27,3 of 3,Red,Featherweight,0,UFC Fight Night: Font vs. Vera,Decision - Unanimous,3,5:00
Krzysztof Jotko,0,65 of 124,52%,129 of 195,4 of 4,100%,0,0,5:25,51 of 102,8 of 15,6 of 7,52 of 110,7 of 8,6 of 6,Gerald Meerschaert,0,37 of 91,40%,46 of 101,1 of 4,25%,0,0,1:54,17 of 70,8 of 9,12 of 12,28 of 80,9 of 11,0 of 0,Red,Middleweight,0,UFC Fight Night: Font vs. Vera,Decision - Unanimous,3,5:00
Alexandr Romanov,0,8 of 14,57%,11 of 17,3 of 3,100%,1,0,1:58,8 of 14,0 of 0,0 of 0,0 of 0,0 of 0,8 of 14,Chase Sherman,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,Red,Heavyweight,0,UFC Fight Night: Font vs. Vera,Submission,1,2:11
Daniel Da Silva,0,4 of 6,66%,5 of 7,1 of 1,100%,0,0,0:28,1 of 3,1 of 1,2 of 2,4 of 6,0 of 0,0 of 0,Francisco Figueiredo,0,5 of 5,100%,5 of 5,0 of 0,---,1,0,0:00,0 of 0,1 of 1,4 of 4,5 of 5,0 of 0,0 of 0,Blue,Flyweight,0,UFC Fight Night: Font vs. Vera,Submission,1,1:18
Gabe Green,0,48 of 123,39%,54 of 129,0 of 0,---,0,0,0:41,26 of 98,13 of 16,9 of 9,36 of 105,4 of 5,8 of 13,Yohan Lainesse,1,41 of 80,51%,42 of 81,2 of 4,50%,1,0,1:37,15 of 40,11 of 16,15 of 24,35 of 74,3 of 3,3 of 3,Red,Welterweight,0,UFC Fight Night: Font vs. Vera,KO/TKO,2,4:02
Natan Levy,0,92 of 141,65%,99 of 150,9 of 16,56%,0,0,3:39,68 of 115,19 of 21,5 of 5,80 of 124,4 of 8,8 of 9,Mike Breeden,0,104 of 210,49%,115 of 221,3 of 4,75%,0,0,1:56,64 of 158,39 of 51,1 of 1,89 of 185,13 of 22,2 of 3,Red,Lightweight,0,UFC Fight Night: Font vs. Vera,Decision - Unanimous,3,5:00
Gina Mazany,0,48 of 86,55%,57 of 95,1 of 5,20%,0,0,1:22,15 of 50,24 of 27,9 of 9,43 of 77,5 of 9,0 of 0,Shanna Young,0,49 of 102,48%,62 of 118,0 of 0,---,0,1,0:57,34 of 79,12 of 20,3 of 3,33 of 78,2 of 2,14 of 22,Blue,Women's Flyweight,0,UFC Fight Night: Font vs. Vera,KO/TKO,2,3:11
Amanda Lemos,0,7 of 17,41%,7 of 17,0 of 0,---,0,0,0:00,4 of 12,0 of 2,3 of 3,7 of 17,0 of 0,0 of 0,Jessica Andrade,0,3 of 9,33%,3 of 9,0 of 1,0%,1,0,0:38,0 of 3,1 of 1,2 of 5,3 of 9,0 of 0,0 of 0,Blue,Women's Strawweight,0,UFC Fight Night: Lemos vs. Andrade,Submission,1,3:13
