Fighter,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str Acc. (pct),SApM,Str Def. (pct),TD Avg.,TD Acc. (pct),TD Def. (pct),Sub. Avg.,Link
Magomed Ankalaev,,6.25,205.0,75.0,Orthodox,17,1,0,0,3.49,0.54,2.13,0.61,1.01,0.33,0.85,0.0,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Gadzhimurad Antigulov,,5.92,205.0,70.0,Orthodox,20,8,0,0,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,http://ufcstats.com/fighter-details/af997f7611673880
Adam Antolin,Captain Chaos,5.42,125.0,63.0,Orthodox,12,3,0,0,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/25b31165758402dd
Angelo Antonio,,,205.0,,Orthodox,1,4,0,0,1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dbd198f780286aca
Azunna Anyanwu,Zulu,6.08,251.0,,Orthodox,14,5,0,0,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0,http://ufcstats.com/fighter-details/78d48d3874dacafd
Shinsho Anzai,Animal,5.58,170.0,70.0,Orthodox,10,3,0,0,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,http://ufcstats.com/fighter-details/4665f9f909cd7214
Shinya Aoki,Tobikan Judan,5.92,154.0,,Southpaw,39,7,0,0,0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0,http://ufcstats.com/fighter-details/79ded75550efc139
,The Mongolian Murderer,5.58,135.0,69.0,Orthodox,23,11,0,0,6.65,0.46,7.77,0.49,2.29,0.62,0.54,0.0,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Josh Appelt,,5.83,255.0,,Southpaw,15,7,0,0,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/0c1a04afca64e38f
Erik Apple,,6.0,170.0,,Orthodox,10,3,0,0,0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
Kenji Arai,,5.83,145.0,,Southpaw,15,15,5,0,8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/269d103c96a4c3a5
